"Date","Titre","Sous-titre","Salle"
"2016-09-13 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-14 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-14 20:00:00","L'Orchestre symphonique de QuébecVisite berlinoise, Kashimoto joue Tchaikovski","Concert d'ouverture","Salle Louis-Fréchette"
"2016-09-15 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-16 20:00:00","Oliver Jones trio et Piano Caméléons","Oliver Jones passe le flambeau!","Salle Louis-Fréchette"
"2016-09-16 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-17 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-17 20:00:00","The Australian Pink Floyd Show","","Salle Louis-Fréchette"
"2016-09-17 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-18 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-20 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-21 19:30:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-21 20:00:00","L'Orchestre symphonique de QuébecBeethoven, Symphonie héroïque","","Salle Louis-Fréchette"
"2016-09-22 10:30:00","L'Orchestre symphonique de QuébecBeethoven, Symphonie héroïque","","Salle Louis-Fréchette"
"2016-09-22 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-22 20:00:00","Les Grands ExplorateursFascinante Californie","","Salle Louis-Fréchette"
"2016-09-23 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-23 20:00:00","Les Grands ExplorateursFascinante Californie","","Salle Louis-Fréchette"
"2016-09-24 15:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-24 20:00:00","Les Grands ExplorateursFascinante Californie","","Salle Louis-Fréchette"
"2016-09-24 20:00:00","Le Trident887","","Salle Octave-Crémazie"
"2016-09-25 11:00:00","Croissants-MusiqueMalika Tirolien","Sur la voie ensoleillée","Foyer de la salle Louis-Fréchette"
