,Nb_Ph.,Ph_calls,Dur.,Nb_con_obj,Mo,Nb_people.,age,Salary,Y
0,4.0,5.0,142.0,10.0,31.0,3.0,27.0,60000.0,-213.29540655350468
1,3.0,14.0,34.0,9.0,46.0,1.0,31.0,63000.0,-164.79870190167574
2,4.0,11.0,126.0,9.0,67.0,2.0,24.0,62000.0,-19.248086839485108
3,3.0,12.0,77.0,12.0,62.0,1.0,37.0,70000.0,-66.15704320235574
4,4.0,9.0,105.0,12.0,63.0,1.0,35.0,86000.0,-31.70106533213868
5,3.0,11.0,143.0,13.0,168.0,2.0,30.0,64000.0,181.6906645897965
6,3.0,10.0,86.0,13.0,93.0,2.0,22.0,26000.0,-172.0769444282711
7,2.0,15.0,95.0,18.0,95.0,2.0,38.0,77000.0,-8.928214881540399
8,3.0,14.0,174.0,11.0,100.0,2.0,30.0,75000.0,133.286187618643
9,3.0,11.0,102.0,10.0,69.0,2.0,28.0,54000.0,-54.15636376989621
10,1.0,9.0,88.0,6.0,89.0,2.0,33.0,61000.0,-88.73636167538474
11,3.0,24.0,73.0,7.0,140.0,3.0,30.0,44000.0,-73.94116688245735
12,3.0,6.0,49.0,6.0,122.0,3.0,24.0,68000.0,-40.28607006267239
13,3.0,17.0,167.0,10.0,52.0,2.0,28.0,37000.0,-1.1144928190688361
14,3.0,19.0,126.0,14.0,127.0,2.0,31.0,38000.0,67.2013161624112
15,3.0,33.0,46.0,13.0,101.0,1.0,33.0,91000.0,148.62158723659402
16,4.0,25.0,1.0,14.0,180.0,2.0,26.0,63000.0,118.24533967815684
17,4.0,9.0,77.0,8.0,232.0,2.0,23.0,85000.0,238.28813048679032
18,3.0,11.0,20.0,10.0,92.0,2.0,34.0,55000.0,-169.94492502891273
19,3.0,7.0,43.0,18.0,121.0,2.0,30.0,27000.0,-206.75022791926133
20,3.0,8.0,66.0,10.0,6.0,2.0,29.0,49000.0,-251.84489572312305
21,3.0,15.0,62.0,12.0,87.0,2.0,26.0,83000.0,-19.17667998141486
22,3.0,2.0,158.0,16.0,66.0,1.0,33.0,74000.0,46.83758194869549
23,3.0,11.0,106.0,9.0,142.0,3.0,24.0,110000.0,59.277403668420675
24,4.0,7.0,7.0,15.0,80.0,3.0,19.0,90000.0,16.23943825392942
25,2.0,14.0,85.0,8.0,34.0,2.0,30.0,52000.0,-141.6331735149335
26,3.0,12.0,23.0,8.0,168.0,1.0,25.0,93000.0,73.8105968811038
27,2.0,3.0,101.0,5.0,87.0,2.0,35.0,65000.0,-70.39487217490394
28,2.0,2.0,4.0,15.0,106.0,2.0,24.0,63000.0,-157.92605886560378
29,3.0,13.0,188.0,9.0,178.0,1.0,28.0,69000.0,275.0623512333716
30,3.0,7.0,141.0,15.0,214.0,3.0,29.0,72000.0,163.72763675927172
